"","SettlementPoint","Year","Month","AveragePrice"
"205","HB_SOUTH",2016,4,18.5129027777778
"206","HB_SOUTH",2016,5,18.5704569892473
"207","HB_SOUTH",2016,6,24.645375
"208","HB_SOUTH",2016,7,26.9602553763441
"209","HB_SOUTH",2016,8,31.2079704301075
"210","HB_SOUTH",2016,9,27.4055694444444
"211","HB_SOUTH",2016,10,26.6896639784946
"212","HB_SOUTH",2016,11,20.1488333333333
"213","HB_SOUTH",2016,12,25.7089919354839
"214","HB_SOUTH",2017,1,23.624811827957
"215","HB_SOUTH",2017,2,21.0793601190476
"216","HB_SOUTH",2017,3,23.6807537012113
"217","HB_SOUTH",2017,4,25.6094027777778
"218","HB_SOUTH",2017,5,26.4950134408602
"219","HB_SOUTH",2017,6,29.6546944444444
"220","HB_SOUTH",2017,7,32.1294623655914
"221","HB_SOUTH",2017,8,28.3150268817204
"222","HB_SOUTH",2017,9,25.5150972222222
"223","HB_SOUTH",2017,10,25.5636559139785
"224","HB_SOUTH",2017,11,23.9771805555556
"225","HB_SOUTH",2017,12,21.9979166666667
"226","HB_SOUTH",2018,1,39.4981451612903
"227","HB_SOUTH",2018,2,22.3063988095238
"228","HB_SOUTH",2018,3,22.8884522207268
"229","HB_SOUTH",2018,4,24.4718888888889
"230","HB_SOUTH",2018,5,34.2260752688172
"231","HB_SOUTH",2018,6,30.0686388888889
"232","HB_SOUTH",2018,7,78.8473790322581
"233","HB_SOUTH",2018,8,31.6675268817204
"234","HB_SOUTH",2018,9,27.1898055555556
"235","HB_SOUTH",2018,10,29.7725134408602
"236","HB_SOUTH",2018,11,29.8371805555556
"237","HB_SOUTH",2018,12,30.0893010752688
"238","HB_SOUTH",2019,1,25.086061827957
"239","HB_SOUTH",2019,2,22.1256398809524
"240","HB_SOUTH",2019,3,27.1355585464334
"241","HB_SOUTH",2019,4,22.4633333333333
"242","HB_SOUTH",2019,5,24.0599462365591
"243","HB_SOUTH",2019,6,23.9043611111111
"244","HB_SOUTH",2019,7,29.6375
"245","HB_SOUTH",2019,8,125.936545698925
"246","HB_SOUTH",2019,9,78.9004722222222
"247","HB_SOUTH",2019,10,29.4684005376344
"248","HB_SOUTH",2019,11,23.7185555555556
"249","HB_SOUTH",2019,12,18.9525134408602
"250","HB_WEST",2016,1,19.1265591397849
"251","HB_WEST",2016,2,14.9886637931034
"252","HB_WEST",2016,3,15.871668909825
"253","HB_WEST",2016,4,16.86275
"254","HB_WEST",2016,5,17.3376747311828
"255","HB_WEST",2016,6,23.1419305555556
"256","HB_WEST",2016,7,26.543561827957
"257","HB_WEST",2016,8,29.7867338709677
"258","HB_WEST",2016,9,26.35425
